diet,sex,subject,day,weight
ds,male,89,10,52.8
ds,male,90,10,54.6
ds,female,91,10,55.5
ds,male,93,10,55.7
ds,male,94,10,46.2
ds,female,95,10,74.8
ds,male,96,10,54.4
ds,female,99,10,62.2
ds,female,100,10,72.5
sf,male,101,10,43.8
sf,male,107,10,43.4
sf,female,112,10,38
sf,female,113,10,49.3
sf,male,115,10,10.9
sf,male,120,10,38.5
sf,female,123,10,30.2
sf,male,135,10,40.6
sf,female,139,10,39.3
sf,male,150,10,38.3
ag,male,1,11,46.5
ag,female,2,11,52.3
ag,female,7,11,63.2
ag,male,8,11,44.2
ag,female,9,11,65.2
ag,female,12,11,50.5
ag,male,14,11,44.3
ag,female,15,11,55.2
ag,female,16,11,54
ag,male,18,11,46.7
ag,female,19,11,58
ag,female,20,11,60.3
ag,male,23,11,40.6
ag,female,24,11,59.9
ag,male,26,11,39.5
ag,male,28,11,39.6
ag,female,30,11,63.8
ag,female,31,11,52.1
ag,female,36,11,51.2
ag,male,39,11,44.9
ag,male,40,11,48.8
ag,female,41,11,42.4
ag,male,42,11,37.2
ag,female,48,11,57.2
ds,female,51,11,66.9
ds,female,52,11,52.7
ds,female,53,11,72.5
ds,female,54,11,88.4
ds,male,56,11,51.3
ds,male,57,11,47.5
ds,female,58,11,67.5
ds,female,59,11,53.3
ds,female,60,11,62
ds,female,61,11,65.4
ds,female,62,11,68.1
ds,female,63,11,45.8
ds,female,65,11,58
ds,male,66,11,41.5
ds,female,68,11,78.2
ds,male,69,11,50
ds,female,70,11,94.7
ds,female,71,11,84.8
ds,male,72,11,43.6
ds,male,73,11,44.7
ds,female,74,11,64.5
ds,male,75,11,43.5
ds,female,76,11,54.8
ds,male,77,11,57.4
ds,male,78,11,51
ds,male,79,11,43
ds,female,80,11,80
ds,male,81,11,41.5
ds,female,82,11,87.4
ds,female,83,11,60
ds,female,84,11,75.9
ds,male,85,11,56.4
ds,male,86,11,47.1
ds,female,87,11,55.5
ds,male,88,11,46.1
ds,male,89,11,49.2
ds,male,90,11,53.4
ds,female,91,11,59.2
ds,male,93,11,60.5
ds,male,94,11,44.1
ds,female,95,11,83.3
ds,male,96,11,54.3
ds,female,99,11,91
ds,female,100,11,69
sf,male,101,11,43.1
sf,male,107,11,28.8
sf,female,112,11,56.1
sf,female,113,11,58.8
sf,male,115,11,17
sf,male,120,11,36.6
sf,female,123,11,44.2
sf,male,135,11,44.3
sf,female,139,11,59
sf,male,150,11,35
ag,male,1,12,45.8
ag,female,2,12,51.9
ag,female,7,12,61.6
ag,male,8,12,41.9
ag,female,9,12,61.1
ag,female,12,12,48.5
ag,male,14,12,44.6
ag,female,15,12,53.1
ag,female,16,12,53.1
ag,male,18,12,43.5
ag,female,19,12,54.8
ag,female,20,12,59.4
ag,male,23,12,50.4
ag,female,24,12,57.6
ag,male,26,12,36.9
ag,male,28,12,43.2
ag,female,30,12,60.8
ag,female,31,12,46.7
ag,female,36,12,49.6
ag,male,39,12,40.9
ag,male,40,12,47
ag,female,41,12,50.2
ag,male,42,12,31.5
ag,female,48,12,52.9
ds,female,51,12,60.7
ds,female,52,12,46
ds,female,53,12,101.5
ds,female,54,12,87.4
ds,male,56,12,57
ds,male,57,12,47.7
ds,female,58,12,95.9
ds,female,59,12,75.5
ds,female,60,12,59.6
ds,female,61,12,83.2
ds,female,62,12,88.7
ds,female,63,12,40.8
ds,female,65,12,68.6
ds,male,66,12,38.1
ds,female,68,12,79.5
ds,male,69,12,54.1
ds,female,70,12,100.4
ds,female,71,12,100.8
ds,male,72,12,42.7
ds,male,73,12,44.4
ds,female,74,12,84.1
ds,male,75,12,47.8
ds,female,76,12,51
ds,male,77,12,58.6
ds,male,78,12,52.8
ds,male,79,12,57.2
ds,female,80,12,110.9
ds,male,81,12,56
ds,female,82,12,100
ds,female,83,12,61.6
ds,female,84,12,83.6
ds,male,85,12,59.2
ds,male,86,12,42.9
ds,female,87,12,52.1
ds,male,88,12,44.2
ds,male,89,12,55.5
ds,male,90,12,57.2
ds,female,91,12,52.3
ds,male,93,12,60.6
ds,male,94,12,55.6
ds,female,95,12,98.1
ds,male,96,12,44.3
ds,female,99,12,83.2
ds,female,100,12,68.2
sf,male,101,12,39.4
sf,male,107,12,NA
sf,female,112,12,69.2
sf,female,113,12,57.7
sf,male,115,12,15.6
sf,male,120,12,39.5
sf,female,123,12,51.8
sf,male,135,12,42.6
sf,female,139,12,57.7
sf,male,150,12,37.5
ag,male,1,13,41.7
ag,female,2,13,48.5
ag,female,7,13,58
ag,male,8,13,39.6
ag,female,9,13,75.6
ag,female,12,13,41.4
ag,male,14,13,41.6
ag,female,15,13,50.6
ag,female,16,13,48.5
ag,male,18,13,40.4
ag,female,19,13,44.6
ag,female,20,13,42.1
ag,male,23,13,40.7
ag,female,24,13,54.3
ag,male,26,13,38.8
ag,male,28,13,35.5
ag,female,30,13,63.1
ag,female,31,13,53.2
ag,female,36,13,42.6
ag,male,39,13,38
ag,male,40,13,35.6
ag,female,41,13,55.7
ag,male,42,13,32
ag,female,48,13,70.5
ds,female,51,13,96.4
ds,female,52,13,58.5
ds,female,53,13,91.5
ds,female,54,13,96.6
ds,male,56,13,53.4
ds,male,57,13,56
ds,female,58,13,83
ds,female,59,13,69.2
ds,female,60,13,68.9
ds,female,61,13,81.3
ds,female,62,13,104.7
ds,female,63,13,55.7
ds,female,65,13,82.5
ds,male,66,13,43.4
ds,female,68,13,90.7
ds,male,69,13,56.7
ds,female,70,13,112.5
ds,female,71,13,86.5
ds,male,72,13,43.7
ds,male,73,13,54.6
ds,female,74,13,89.1
ds,male,75,13,52.2
ds,female,76,13,73.5
ds,male,77,13,52.2
ds,male,78,13,43
ds,male,79,13,57.3
ds,female,80,13,115.6
ds,male,81,13,55.5
ds,female,82,13,89.7
ds,female,83,13,58
ds,female,84,13,88.4
ds,male,85,13,62.3
ds,male,86,13,55.6
ds,female,87,13,48.4
ds,male,88,13,51.5
ds,male,89,13,49.2
ds,male,90,13,58.6
ds,female,91,13,51.4
ds,male,93,13,58.7
ds,male,94,13,53.6
