month,day,IEDemand
9,19,3156.8042708333332
9,20,3231.8790625
9,21,3171.776770833333
9,22,3156.0754166666666
9,23,3002.7944791666664
9,24,2800.3453125
9,25,3121.731875
9,26,3202.051770833333
9,27,3286.0271875
9,28,3235.764166666667
9,29,3164.4196875
9,30,2925.1116666666667
10,1,2820.2561458333334
10,2,3142.0919791666665
10,3,3221.6633333333334
10,4,3263.6598958333334
10,5,3230.4632291666667
10,6,3224.1440625
10,7,2989.5146875
10,8,2871.2222916666665
10,9,3229.3148958333336
10,10,3275.9480208333334
10,11,3247.8836458333335
10,12,3275.8153125
10,13,3297.2669791666667
10,14,3005.046979166667
10,15,2885.4527083333332
10,16,2737.8313541666666
10,17,3030.4413541666668
10,18,3252.508333333333
10,19,3332.435625
10,20,3349.6702083333334
10,21,3169.52875
10,22,2982.9584375
10,23,3292.6160416666667
10,24,3377.4196875
10,25,3355.5847916666667
10,26,3389.564895833333
10,27,3340.0657291666666
10,28,3104.8919791666667
10,29,2883.0422395833334
10,30,2958.8748958333335
10,31,3284.5578125
11,1,3381.5494791666665
11,2,3406.8333333333335
11,3,3353.3127083333334
11,4,3070.9695833333335
11,5,2993.57625
11,6,3391.322291666667
11,7,3459.0089583333333
11,8,3561.1660416666664
11,9,3473.478541666667
11,10,3445.9708333333333
11,11,3248.5046875000003
11,12,3037.09
11,13,3532.0316666666668
11,14,3531.395
11,15,3520.7522916666667
11,16,3516.834895833333
11,17,3577.0011458333333
11,18,3275.1496875
11,19,3101.30375
11,20,3433.4378125
11,21,3458.8623958333333
11,22,3561.8559375
11,23,3554.6237499999997
11,24,3620.1877083333334
11,25,3340.4778125
11,26,3201.933125
11,27,3568.226875
11,28,3650.1755208333334
11,29,3704.989375
11,30,3720.0415625
12,1,3745.5985416666667
12,2,3392.0003125
12,3,3183.6038541666667
12,4,3637.3297916666666
12,5,3654.273333333333
12,6,3634.1344791666666
12,7,3645.4260416666666
12,8,3709.7610416666666
12,9,3497.729895833333
12,10,3345.8316666666665
12,11,3798.9551041666664
12,12,3872.8566666666666
12,13,3784.7358333333336
12,14,3873.3345833333333
12,15,3763.6720833333334
12,16,3492.5238541666663
12,17,3299.441770833333
12,18,3706.5652083333334
12,19,3661.9377083333334
12,20,3616.899375
12,21,3528.836458333333
12,22,3409.8427083333336
12,23,3176.7153125
12,24,3063.293958333333
12,25,2909.9788541666667
12,26,2888.8630208333334
12,27,3143.691041666667
12,28,3359.87375
12,29,3354.6789583333334
12,30,3198.2513541666667
12,31,3071.22875
