"Statistic","Quarter","County","UNIT","VALUE"
"New House Registrations","1997Q1","Meath","Number","355"
"New House Registrations","1997Q1","Offaly","Number","21"
"New House Registrations","1997Q1","Westmeath","Number","88"
"New House Registrations","1997Q1","Wexford","Number","129"
"New House Registrations","1997Q1","Wicklow","Number","331"
"New House Registrations","1997Q1","Clare","Number","277"
"New House Registrations","1997Q1","Cork","Number","850"
"New House Registrations","1997Q1","Kerry","Number","179"
"New House Registrations","1997Q1","Limerick","Number","389"
"New House Registrations","1997Q1","Tipperary","Number","122"
"New House Registrations","1997Q1","Waterford","Number","164"
"New House Registrations","1997Q1","Galway","Number","332"
"New House Registrations","1997Q1","Leitrim","Number","0"
"New House Registrations","1997Q1","Mayo","Number","219"
"New House Registrations","1997Q1","Roscommon","Number","33"
"New House Registrations","1997Q1","Sligo","Number","37"
"New House Registrations","1997Q1","Cavan","Number","23"
"New House Registrations","1997Q1","Donegal","Number","143"
"New House Registrations","1997Q1","Monaghan","Number","7"
"New House Registrations","1997Q2","All Counties","Number","6717"
"New House Registrations","1997Q2","Carlow","Number","98"
"New House Registrations","1997Q2","Dublin","Number","1895"
"New House Registrations","1997Q2","Kildare","Number","671"
"New House Registrations","1997Q2","Kilkenny","Number","111"
"New House Registrations","1997Q2","Laois","Number","38"
"New House Registrations","1997Q2","Longford","Number","5"
"New House Registrations","1997Q2","Louth","Number","194"
"New House Registrations","1997Q2","Meath","Number","358"
"New House Registrations","1997Q2","Offaly","Number","26"
"New House Registrations","1997Q2","Westmeath","Number","122"
"New House Registrations","1997Q2","Wexford","Number","143"
"New House Registrations","1997Q2","Wicklow","Number","329"
"New House Registrations","1997Q2","Clare","Number","196"
"New House Registrations","1997Q2","Cork","Number","749"
"New House Registrations","1997Q2","Kerry","Number","286"
"New House Registrations","1997Q2","Limerick","Number","379"
"New House Registrations","1997Q2","Tipperary","Number","150"
"New House Registrations","1997Q2","Waterford","Number","250"
"New House Registrations","1997Q2","Galway","Number","233"
"New House Registrations","1997Q2","Leitrim","Number","15"
"New House Registrations","1997Q2","Mayo","Number","91"
"New House Registrations","1997Q2","Roscommon","Number","12"
"New House Registrations","1997Q2","Sligo","Number","219"
"New House Registrations","1997Q2","Cavan","Number","46"
"New House Registrations","1997Q2","Donegal","Number","82"
"New House Registrations","1997Q2","Monaghan","Number","19"
"New House Registrations","1997Q3","All Counties","Number","6678"
"New House Registrations","1997Q3","Carlow","Number","178"
"New House Registrations","1997Q3","Dublin","Number","1938"
"New House Registrations","1997Q3","Kildare","Number","448"
"New House Registrations","1997Q3","Kilkenny","Number","125"
"New House Registrations","1997Q3","Laois","Number","91"
"New House Registrations","1997Q3","Longford","Number","18"
"New House Registrations","1997Q3","Louth","Number","189"
"New House Registrations","1997Q3","Meath","Number","265"
"New House Registrations","1997Q3","Offaly","Number","48"
"New House Registrations","1997Q3","Westmeath","Number","165"
"New House Registrations","1997Q3","Wexford","Number","227"
"New House Registrations","1997Q3","Wicklow","Number","267"
"New House Registrations","1997Q3","Clare","Number","141"
"New House Registrations","1997Q3","Cork","Number","746"
"New House Registrations","1997Q3","Kerry","Number","209"
"New House Registrations","1997Q3","Limerick","Number","319"
"New House Registrations","1997Q3","Tipperary","Number","228"
"New House Registrations","1997Q3","Waterford","Number","184"
"New House Registrations","1997Q3","Galway","Number","364"
"New House Registrations","1997Q3","Leitrim","Number","16"
"New House Registrations","1997Q3","Mayo","Number","152"
"New House Registrations","1997Q3","Roscommon","Number","35"
"New House Registrations","1997Q3","Sligo","Number","181"
"New House Registrations","1997Q3","Cavan","Number","20"
"New House Registrations","1997Q3","Donegal","Number","122"
"New House Registrations","1997Q3","Monaghan","Number","2"
"New House Registrations","1997Q4","All Counties","Number","6300"
"New House Registrations","1997Q4","Carlow","Number","105"
"New House Registrations","1997Q4","Dublin","Number","1539"
"New House Registrations","1997Q4","Kildare","Number","529"
"New House Registrations","1997Q4","Kilkenny","Number","84"
"New House Registrations","1997Q4","Laois","Number","47"
"New House Registrations","1997Q4","Longford","Number","3"
"New House Registrations","1997Q4","Louth","Number","165"
"New House Registrations","1997Q4","Meath","Number","305"
"New House Registrations","1997Q4","Offaly","Number","37"
"New House Registrations","1997Q4","Westmeath","Number","209"
"New House Registrations","1997Q4","Wexford","Number","417"
"New House Registrations","1997Q4","Wicklow","Number","172"
"New House Registrations","1997Q4","Clare","Number","217"
"New House Registrations","1997Q4","Cork","Number","692"
"New House Registrations","1997Q4","Kerry","Number","163"
"New House Registrations","1997Q4","Limerick","Number","456"
"New House Registrations","1997Q4","Tipperary","Number","164"
"New House Registrations","1997Q4","Waterford","Number","242"
"New House Registrations","1997Q4","Galway","Number","352"
"New House Registrations","1997Q4","Leitrim","Number","7"
"New House Registrations","1997Q4","Mayo","Number","114"
"New House Registrations","1997Q4","Roscommon","Number","6"
"New House Registrations","1997Q4","Sligo","Number","110"
"New House Registrations","1997Q4","Cavan","Number","63"
"New House Registrations","1997Q4","Donegal","Number","78"
"New House Registrations","1997Q4","Monaghan","Number","24"
"New House Registrations","1998Q1","All Counties","Number","7538"
"New House Registrations","1998Q1","Carlow","Number","201"
"New House Registrations","1998Q1","Dublin","Number","1795"
"New House Registrations","1998Q1","Kildare","Number","650"
"New House Registrations","1998Q1","Kilkenny","Number","209"
"New House Registrations","1998Q1","Laois","Number","82"
"New House Registrations","1998Q1","Longford","Number","6"
"New House Registrations","1998Q1","Louth","Number","208"
"New House Registrations","1998Q1","Meath","Number","362"
"New House Registrations","1998Q1","Offaly","Number","91"
"New House Registrations","1998Q1","Westmeath","Number","199"
"New House Registrations","1998Q1","Wexford","Number","313"
"New House Registrations","1998Q1","Wicklow","Number","216"
"New House Registrations","1998Q1","Clare","Number","187"
"New House Registrations","1998Q1","Cork","Number","1003"
"New House Registrations","1998Q1","Kerry","Number","168"
"New House Registrations","1998Q1","Limerick","Number","451"
"New House Registrations","1998Q1","Tipperary","Number","181"
"New House Registrations","1998Q1","Waterford","Number","192"
"New House Registrations","1998Q1","Galway","Number","431"
"New House Registrations","1998Q1","Leitrim","Number","8"
"New House Registrations","1998Q1","Mayo","Number","210"
"New House Registrations","1998Q1","Roscommon","Number","38"
"New House Registrations","1998Q1","Sligo","Number","125"
"New House Registrations","1998Q1","Cavan","Number","33"
